Code,Name,Grognard,Duration,PlayLate,Alt1,Alt2,Alt3,Alt4,Alt5,Alt6,,,,,,,,,,,
FMG,Factory Manager,,,,Power Grid: Factory Manager,,,,,,,,,,,,,,,,
FMR,Formula Motor Racing,,,,,,,,,,,,,,,,,,,,
FRS,Fresco,,,,,,,,,,,,,,,,,,,,
FTC,For the Crown,,,once,,,,,,,,,,,,,,,,,
FTP,For The People,,,once,For the People,,,,,,,,,,,,,,,,
GBG,Gettysburg '88,,,,Gettysburg,,,,,,,,,,,,,,,,
GBM,Global Mogul,,,,,,,,,,,,,,,,,,,,
GCA,Great Campaigns of the ACW,,,,Great Campaigns ACW,Great Campaigns,,,,,,,,,,,,,,,
GOA,Goa,,,,,,,,,,,,,,,,,,,,
GSR,Gangsters,,,all,,,,,,,,,,,,,,,,,
GXT,Galaxy Trucker,,,,,,,,,,,,,,,,,,,,
GXY,Galaxy,,,,,,,,,,,,,,,,,,,,
H&M,Hearts and Minds,,,,Hearts & Minds,,,,,,,,,,,,,,,,
HIS,Here I Stand,,,,,,,,,,,,,,,,,,,,
HNT,The Hunters,,,,"Hunters, The",,,,,,,,,,,,,,,,
HOS,Hammer of the Scots,,,,,,,,,,,,,,,,,,,,
HRC,Hannibal: Rome vs Carthage,,,,Hannibal,,,,,,,,,,,,,,,,
HWD,History of the World,,,,,,,,,,,,,,,,,,,,
HWI,Hawaii,,,,,,,,,,,,,,,,,,,,
IMP,Imperial,,,,,,,,,,,,,,,,,,,,
ING,Ingenious,,,,Ingenius,,,,,,,,,,,,,,,,
IOV,Innovation,,,,,,,,,,,,,,,,,,,,
IVH,Ivanhoe,,,once,,,,,,,,,,,,,,,,,
JUC,Julius Caesar,,,,Julius Caeser,,,,,,,,,,,,,,,,
KFE,Koenig's Fortress Europe,,,once,,,,,,,,,,,,,,,,,
KGM,Kingmaker,,,,,,,,,,,,,,,,,,,,
KOH,Kingdom of Heaven,,,,,,,,,,,,,,,,,,,,
KOT,King of Tokyo,,,all,,,,,,,,,,,,,,,,,
KPR,Kaiser's Pirates,,,,,,,,,,,,,,,,,,,,
KPW,King Philip's War,,,once,King Philips War,,,,,,,,,,,,,,,,
KRM,Kremlin,,,,,,,,,,,,,,,,,,,,
KYF,Keyflower,,,,,,,,,,,,,,,,,,,,
KZV,Kutuzov,,,,,,,,,,,,,,,,,,,,
LBY,Labyrinth,,,once,,,,,,,,,,,,,,,,,
LCW,Lincoln's War,,,,,,,,,,,,,,,,,,,,
LHV,Le Havre,,,,,,,,,,,,,,,,,,,,
LID,Liar's Dice,,,all,,,,,,,,,,,,,,,,,
LLM,Leaping Lemmings,,,,,,,,,,,,,,,,,,,,
LRC,Lord of the Rings: Confrontation,,,,LOTR: Confrontation,Lord Rings;Confrontation,LOTR:Confrontation,LotRings: Confrontation,LotR: the Confrontation,,,,,,,,,,,,
LST,Lost Cities,,,,,,,,,,,,,,,,,,,,
LWL,Last Will,,,,,,,,,,,,,,,,,,,,
M44,Memoir '44,,,,Memoir: Bastogne,Memoir: Factory Fight,Memoir: Firefight in Nef,Memoir: Iwo Jima,Memoir: Prokhorovka,Memoir: Roi-Namur Landings,Memoir: Rzhev,Memoir: Stalingrad Perdition,Memoir: Sword Beach,Memoir: Sword of Stalingrad,Memoir: The Hell of Munda,Memoir: Tigers in the Snow,Memoir: Wamach & Bigonville,Memoir: D-Day Landings,Memoir: D-Day Mega Overlord,Memoir: Peleliu Landings,Memoir: Push to the Roer
MAN,Manoeuvre,,,,,,,,,,,,,,,,,,,,
MAR,Maria,,,,,,,,,,,,,,,,,,,,
MCO,Macao,,,,,,,,,,,,,,,,,,,,
MED,Medici,,,once,,,,,,,,,,,,,,,,,
MFD,Manifest Destiny,,,,,,,,,,,,,,,,,,,,
MGM,Monty's Gamble,,,,,,,,,,,,,,,,,,,,
MMS,March Madness,,,,,,,,,,,,,,,,,,,,
MMW,Mr. Madison's War,,,,Mr Madison's War,,,,,,,,,,,,,,,,
MOA,Mystery of the Abbey,,,,,,,,,,,,,,,,,,,,
MOV,Merchant of Venus,,,,,,,,,,,,,,,,,,,,
MMA,Monsters Menace America,,,,Monsters Ravage ...,Monsters Menace USA,Monsters Ravage a,,,,,,,,,,,,,,
NAP,Napoleon,,,,,,,,,,,,,,,,,,,,
NSH,Neuroshima Hex!,,,,Neuroshima Hex,,,,,,,,,,,,,,,,
NTD,Notre Dame,,,,,,,,,,,,,,,,,,,,
NUC,Nuclear War,,,,,,,,,,,,,,,,,,,,
NVG,Navegador,,,,,,,,,,,,,,,,,,,,
NVW,Naval War,,,,,,,,,,,,,,,,,,,,
NW5,Napoleonic Wars 5 player,,,,Napoleonic Wars,,,,,,,,,,,,,,,,
