"Code","Name","Grognard","Duration","PlayLate"
"GXT","Galaxy Trucker",,,,,,,,,,,,,,,,,,,,
"GXY","Galaxy",,,,,,,,,,,,,,,,,,,,
"HIS","Here I Stand",,,,,,,,,,,,,,,,,,,,
"HNT","The Hunters",,,,"Hunters, The","Hunters",,,,,,,,,,,,,,,
"HOS","Hammer of the Scots",,,,,,,,,,,,,,,,,,,,
"HRC","Hannibal: Rome vs Carthage",,,,"Hannibal",,,,,,,,,,,,,,,,
"HWD","History of the World",,,,,,,,,,,,,,,,,,,,
"ING","Ingenious",,,,"Ingenius",,,,,,,,,,,,,,,,
"IOV","Innovation",,,,,,,,,,,,,,,,,,,,
"IVH","Ivanhoe",,,"once",,,,,,,,,,,,,,,,,
"JUC","Julius Caesar",,,"once","Julius Caeser",,,,,,,,,,,,,,,,
"KAR","Kanban: Auto Revolution",,,,,,,,,,,,,,,,,,,,
"KFE","Koenig's Fortress Europe",,,"once",,,,,,,,,,,,,,,,,
"KOT","King of Tokyo",,,"all",,,,,,,,,,,,,,,,,
"KPR","Kaiser's Pirates",,,,,,,,,,,,,,,,,,,,
"KRM","Kremlin",,,,,,,,,,,,,,,,,,,,
"KYF","Keyflower",,,,,,,,,,,,,,,,,,,,
"LAS","Las Vegas",,,"all",,,,,,,,,,,,,,,,,
"LBY","Labyrinth",,,"once",,,,,,,,,,,,,,,,,
"LCW","Lincoln's War",,,,,,,,,,,,,,,,,,,,
"LHV","Le Havre",,,,,,,,,,,,,,,,,,,,
"LID","Liar's Dice",,,"all",,,,,,,,,,,,,,,,,
"LLM","Leaping Lemmings",,,,,,,,,,,,,,,,,,,,
"LST","Lost Cities",,,"all",,,,,,,,,,,,,,,,,
"LWD","Lords of Waterdeep",,,,,,,,,,,,,,,,,,,,
"LWL","Last Will",,,,,,,,,,,,,,,,,,,,
