Boardgame Players Assocition,,,,,,,,,,,,,,,,,,,
2018 WBC Schedule,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Schedule by Game,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Date,Day,Day Code,Time,Event Code,Event,Type,Round/Heat,Prize Level,Class,Format,Style,Duration,Location,GM,Category,,,,
7/23/18,Monday,Mo,12,AOA,Ace of Aces,Tournament,R2/4,1,C,SW,Free Form,2,Sunburst,"Burtless, Bill",Trial,,,,
7/25/18,Wednesday,We,19,AOA,Ace of Aces,Tournament,R3/4,1,C,SW,Free Form,2,Sunburst,"Burtless, Bill",Trial,,,,
7/27/18,Friday,Fr,9,AOA,Ace of Aces,Tournament,R4/4,1,C,SW,Free Form,2,Sunburst,"Burtless, Bill",Trial,,,,
7/23/18,Monday,Mo,11,ACQ,Acquire,Tournament,D1/1,--,--,--,--,1,Annex 1,"Ackman, Cliff",Century,,,,
7/23/18,Monday,Mo,12,ACQ,Acquire,Tournament,H1/3,3,B,HMW,Scheduled,2,Wintergreen,"Ackman, Cliff",Century,,,,
7/24/18,Tuesday,Tu,18,ACQ,Acquire,Tournament,H2/3,3,B,HMW,Scheduled,2,Seasons,"Ackman, Cliff",Century,,,,
7/27/18,Friday,Fr,22,ACQ,Acquire,Tournament,H3/3,3,B,HMW,Scheduled,2,Seasons,"Ackman, Cliff",Century,,,,
7/28/18,Saturday,Sa,17,ACQ,Acquire,Tournament,SF,3,B,HMW,Scheduled,2,Wintergreen,"Ackman, Cliff",Century,,,,
7/28/18,Saturday,Sa,19,ACQ,Acquire,Tournament,F,3,B,HMW,Scheduled,2,Laurel,"Ackman, Cliff",Century,,,,
7/22/18,First Sunday,FSu,15,ADV,Adel Verpflichtet,Tournament,D1/1,--,--,--,--,1,Annex 1,"Bender, Angela",Century,,,,
