Boardgame Players Assocition,,,,,,,,,,,,,,,,,,,
2018 WBC Schedule,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Schedule by Game,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Date,Day,Day Code,Time,Event Code,Event,Type,Round/Heat,Prize Level,Class,Format,Style,Duration,Location,GM,Category,,,,
7/28/18,Saturday,Sa,15,BWD,Bitter Woods,Tournament,F,1,A,SwEl,Free Form,6,Festival,"Sinigaglio, Bruno",Trial,,,,
7/24/18,Tuesday,Tu,19,BRS,Brass,Tournament,D1/1,--,--,--,--,3,Annex 1,"Hodgins, Bruce",Century,,,,
7/24/18,Tuesday,Tu,21,BRS,Brass,Tournament,H1/3,5,B,HMWG,Scheduled,3,Alpine,"Hodgins, Bruce",Century,,,,
7/25/18,Wednesday,We,20,BRS,Brass,Tournament,H2/3,5,B,HMWG,Scheduled,3,Grand Ballroom,"Hodgins, Bruce",Century,,,,
7/27/18,Friday,Fr,9,BRS,Brass,Tournament,H3/3,5,B,HMWG,Scheduled,3,Alpine,"Hodgins, Bruce",Century,,,,
7/28/18,Saturday,Sa,9,BRS,Brass,Tournament,SF,5,B,HMWG,Scheduled,3,Alpine,"Hodgins, Bruce",Century,,,,
7/28/18,Saturday,Sa,12,BRS,Brass,Tournament,F,5,B,HMWG,Scheduled,3,Laurel,"Hodgins, Bruce",Century,,,,
7/24/18,Tuesday,Tu,16,BKN,Breakout: Normandy,Tournament,D1/1,--,--,--,--,1,Annex 6,"Thompson, Nels",Century,,,,
7/24/18,Tuesday,Tu,18,BKN,Breakout: Normandy,Tournament,R1M,5,B,SEM,Continuous,5,First Tracks Slopeside,"Thompson, Nels",Century,,,,
7/25/18,Wednesday,We,9,BKN,Breakout: Normandy,Tournament,R1/5,5,B,SEM,Continuous,5,First Tracks Slopeside,"Thompson, Nels",Century,,,,
7/25/18,Wednesday,We,14,BKN,Breakout: Normandy,Tournament,R2/5,5,B,SEM,Continuous,5,First Tracks Slopeside,"Thompson, Nels",Century,,,,
7/25/18,Wednesday,We,19,BKN,Breakout: Normandy,Tournament,R3/5,5,B,SEM,Continuous,5,First Tracks Slopeside,"Thompson, Nels",Century,,,,
7/26/18,Thursday,Th,9,BKN,Breakout: Normandy,Tournament,SF,5,B,SEM,Continuous,5,Director's One,"Thompson, Nels",Century,,,,
7/26/18,Thursday,Th,14,BKN,Breakout: Normandy,Tournament,F,5,B,SEM,Continuous,5,Director's One,"Thompson, Nels",Century,,,,
7/25/18,Wednesday,We,10,BRI,Britannia,Tournament,D1/1,--,--,--,--,1,Annex 2,"Jordan, James",Century,,,,
7/25/18,Wednesday,We,12,BRI,Britannia,Tournament,H1/3,5,B,HMWG,Scheduled,5,Rathskeller,"Jordan, James",Century,,,,
7/26/18,Thursday,Th,12,BRI,Britannia,Tournament,H2/3,5,B,HMWG,Scheduled,5,Rathskeller,"Jordan, James",Century,,,,
7/27/18,Friday,Fr,9,BRI,Britannia,Tournament,H3/3,5,B,HMWG,Scheduled,5,Rathskeller,"Jordan, James",Century,,,,
7/27/18,Friday,Fr,15,BRI,Britannia,Tournament,SF,5,B,HMWG,Scheduled,5,Rathskeller,"Jordan, James",Century,,,,
7/28/18,Saturday,Sa,9,BRI,Britannia,Tournament,F,5,B,HMWG,Scheduled,5,Rathskeller,"Jordan, James",Century,,,,
7/26/18,Thursday,Th,10,BDH,Broadhorns,Tournament,D1/1,--,--,--,--,1,Annex 4,"Yaure, Chris",Vendor,,,,
7/26/18,Thursday,Th,11,BDH,Broadhorns,Tournament,H1/2,1,B,HMWG,Scheduled,2,Seasons,"Yaure, Chris",Vendor,,,,
7/26/18,Thursday,Th,18,BDH,Broadhorns,Tournament,H2/2,1,B,HMWG,Scheduled,2,Seasons,"Yaure, Chris",Vendor,,,,
7/27/18,Friday,Fr,11,BDH,Broadhorns,Tournament,SF,1,B,HMWG,Scheduled,2,Seasons,"Yaure, Chris",Vendor,,,,
7/27/18,Friday,Fr,13,BDH,Broadhorns,Tournament,F,1,B,HMWG,Scheduled,2,Seasons,"Yaure, Chris",Vendor,,,,
7/25/18,Wednesday,We,23,CNS,Can't Stop,Tournament,R1/4,3,C,SE,Late Night,1,Grand Ballroom,"Drummond, Andrew",Century,,,,
7/25/18,Wednesday,We,24,CNS,Can't Stop,Tournament,R2/4,3,C,SE,Late Night,1,Grand Ballroom,"Drummond, Andrew",Century,,,,
7/26/18,Thursday,Th,1,CNS,Can't Stop,Tournament,R3/4,3,C,SE,Late Night,1,Grand Ballroom,"Drummond, Andrew",Century,,,,
7/26/18,Thursday,Th,2,CNS,Can't Stop,Tournament,F,3,C,SE,Late Night,1,Grand Ballroom,"Drummond, Andrew",Century,,,,
7/23/18,Monday,Mo,21,CAR,Carcassonne,Tournament,D1/1,--,--,--,--,1,Annex 1,"Visocnik, Jennifer",Century,,,,
7/23/18,Monday,Mo,22,CAR,Carcassonne,Tournament,H1/3,3,B,HMWG,Scheduled,1,Seasons,"Visocnik, Jennifer",Century,,,,
7/25/18,Wednesday,We,13,CAR,Carcassonne,Tournament,H2/3,3,B,HMWG,Scheduled,1,Seasons,"Visocnik, Jennifer",Century,,,,
7/26/18,Thursday,Th,14,CAR,Carcassonne,Tournament,H3/3,3,B,HMWG,Scheduled,1,Seasons,"Visocnik, Jennifer",Century,,,,
7/28/18,Saturday,Sa,21,CAR,Carcassonne,Tournament,QF,3,B,HMWG,Scheduled,1,Seasons,"Visocnik, Jennifer",Century,,,,
7/28/18,Saturday,Sa,22,CAR,Carcassonne,Tournament,SF,3,B,HMWG,Scheduled,1,Seasons,"Visocnik, Jennifer",Century,,,,
7/28/18,Saturday,Sa,23,CAR,Carcassonne,Tournament,F,3,B,HMWG,Scheduled,1,Seasons,"Visocnik, Jennifer",Century,,,,
7/22/18,First Sunday,FSu,14,COB,Castles of Burgundy,Tournament,D1/1,--,--,--,--,1,Annex 2,"Irving, Richard",Century,,,,
7/22/18,First Sunday,FSu,16,COB,Castles of Burgundy,Tournament,H1/3,4,B,HMWG,Scheduled,3,Grand Ballroom,"Irving, Richard",Century,,,,
7/25/18,Wednesday,We,13,COB,Castles of Burgundy,Tournament,H2/3,4,B,HMWG,Scheduled,3,Grand Ballroom,"Irving, Richard",Century,,,,
7/27/18,Friday,Fr,9,COB,Castles of Burgundy,Tournament,H3/3,4,B,HMWG,Scheduled,3,Grand Ballroom,"Irving, Richard",Century,,,,
7/28/18,Saturday,Sa,13,COB,Castles of Burgundy,Tournament,SF,4,B,HMWG,Scheduled,3,Grand Ballroom,"Irving, Richard",Century,,,,
7/28/18,Saturday,Sa,16,COB,Castles of Burgundy,Tournament,F,4,B,HMWG,Scheduled,3,Grand Ballroom,"Irving, Richard",Century,,,,
7/25/18,Wednesday,We,9,CMK,Castles of Mad King Ludwig,Tournament,D1/1,--,--,--,--,1,Annex 1,"Corrado, John",Century,,,,
7/25/18,Wednesday,We,11,CMK,Castles of Mad King Ludwig,Tournament,H1/3,4,B,HMWG,Scheduled,2,Grand Ballroom,"Corrado, John",Century,,,,
7/27/18,Friday,Fr,15,CMK,Castles of Mad King Ludwig,Tournament,H2/3,4,B,HMWG,Scheduled,2,Wintergreen,"Corrado, John",Century,,,,
7/28/18,Saturday,Sa,13,CMK,Castles of Mad King Ludwig,Tournament,H3/3,4,B,HMWG,Scheduled,2,Wintergreen,"Corrado, John",Century,,,,
7/29/18,Sunday,Su,9,CMK,Castles of Mad King Ludwig,Tournament,SF,4,B,HMWG,Scheduled,2,Wintergreen,"Corrado, John",Century,,,,
7/29/18,Sunday,Su,11,CMK,Castles of Mad King Ludwig,Tournament,F,4,B,HMWG,Scheduled,2,Wintergreen,"Corrado, John",Century,,,,
7/27/18,Friday,Fr,13,CTN,Catan (formerly Settlers of Catan),Tournament,D1/1,--,--,--,--,1,Annex 1,"Shipley, Rich",Century,,,,
7/28/18,Saturday,Sa,9,CTN,Catan (formerly Settlers of Catan),Tournament,R1/3,4,B,SwEl,Continuous,2,Grand Ballroom,"Shipley, Rich",Century,,,,
7/28/18,Saturday,Sa,11,CTN,Catan (formerly Settlers of Catan),Tournament,R2/3,4,B,SwEl,Continuous,2,Grand Ballroom,"Shipley, Rich",Century,,,,
7/28/18,Saturday,Sa,13,CTN,Catan (formerly Settlers of Catan),Tournament,R3/3,4,B,SwEl,Continuous,2,Grand Ballroom,"Shipley, Rich",Century,,,,
7/28/18,Saturday,Sa,15,CTN,Catan (formerly Settlers of Catan),Tournament,SF,4,B,SwEl,Continuous,2,Grand Ballroom,"Shipley, Rich",Century,,,,
7/28/18,Saturday,Sa,17,CTN,Catan (formerly Settlers of Catan),Tournament,F,4,B,SwEl,Continuous,2,Grand Ballroom,"Shipley, Rich",Century,,,,
7/22/18,First Sunday,FSu,16,C&K,Catan: Cities & Knights,Tournament,D1/1,--,--,--,--,1,Annex 5,"Gnech, Chris",Trial,,,,
7/22/18,First Sunday,FSu,18,C&K,Catan: Cities & Knights,Tournament,H1/2,1,B,HMWG,Scheduled,3,Wintergreen,"Gnech, Chris",Trial,,,,
7/25/18,Wednesday,We,15,C&K,Catan: Cities & Knights,Tournament,H2/2,1,B,HMWG,Scheduled,3,Seasons,"Gnech, Chris",Trial,,,,
7/27/18,Friday,Fr,9,C&K,Catan: Cities & Knights,Tournament,SF,1,B,HMWG,Scheduled,3,Laurel,"Gnech, Chris",Trial,,,,
7/27/18,Friday,Fr,12,C&K,Catan: Cities & Knights,Tournament,F,1,B,HMWG,Scheduled,3,Laurel,"Gnech, Chris",Trial,,,,
7/25/18,Wednesday,We,13,CFR,Championship Formula Racing,Tournament,D1/1,--,--,--,--,1,Annex 5,"Long, Chris",Century,,,,
7/26/18,Thursday,Th,10,CFR,Championship Formula Racing,Tournament,H1/3,3,B,HMWG,Scheduled,4,Foggy Goggle Front,"Long, Chris",Century,,,,
7/27/18,Friday,Fr,15,CFR,Championship Formula Racing,Tournament,H2/3,3,B,HMWG,Scheduled,4,Foggy Goggle Front,"Long, Chris",Century,,,,
7/28/18,Saturday,Sa,15,CFR,Championship Formula Racing,Tournament,H3/3,3,B,HMWG,Scheduled,4,Foggy Goggle Front,"Long, Chris",Century,,,,
7/29/18,Sunday,Su,9,CFR,Championship Formula Racing,Tournament,F,3,B,HMWG,Scheduled,4,Seasons,"Long, Chris",Century,,,,
7/21/18,First Saturday,FSa,16,CHL,Churchill,Tournament,D1/1,--,--,--,--,1,Annex 1,"Harris, Kirk",Trial,,,,
7/21/18,First Saturday,FSa,18,CHL,Churchill,Tournament,H1/2,1,B,HMWG,Scheduled,4,Rathskeller,"Harris, Kirk",Trial,,,,
7/23/18,Monday,Mo,9,CHL,Churchill,Tournament,H2/2,1,B,HMWG,Scheduled,4,Rathskeller,"Harris, Kirk",Trial,,,,
7/27/18,Friday,Fr,15,CHL,Churchill,Tournament,SF,1,B,HMWG,Scheduled,4,Rathskeller,"Harris, Kirk",Trial,,,,
7/28/18,Saturday,Sa,15,CHL,Churchill,Tournament,F,1,B,HMWG,Scheduled,4,Rathskeller,"Harris, Kirk",Trial,,,,
7/25/18,Wednesday,We,9,CMS,Circus Maximus,Tournament,D1/1,--,--,--,--,1,Annex 3,"Jacoby, John",Century,,,,
7/23/18,Monday,Mo,13,CMS,Circus Maximus,Tournament,H1/4,6,B,HWO,Scheduled,3,Foggy Goggle Front,"Jacoby, John",Century,,,,
7/24/18,Tuesday,Tu,18,CMS,Circus Maximus,Tournament,H2/4,6,B,HWO,Scheduled,3,Foggy Goggle Front,"Jacoby, John",Century,,,,
7/25/18,Wednesday,We,19,CMS,Circus Maximus,Tournament,H3/4,6,B,HWO,Scheduled,3,Foggy Goggle Front,"Jacoby, John",Century,,,,
7/27/18,Friday,Fr,9,CMS,Circus Maximus,Tournament,H4/4,6,B,HWO,Scheduled,3,Foggy Goggle Front,"Jacoby, John",Century,,,,
7/28/18,Saturday,Sa,10,CMS,Circus Maximus,Tournament,SF,6,B,HWO,Scheduled,3,Foggy Goggle Front,"Jacoby, John",Century,,,,
7/28/18,Saturday,Sa,18,CMS,Circus Maximus,Tournament,F,6,B,HWO,Scheduled,3,Foggy Goggle Front,"Jacoby, John",Century,,,,
7/24/18,Tuesday,Tu,17,CBC,Combat Commander,Tournament,D1/1,--,--,--,--,1,Annex 1,"Collars, Bryan",Century,,,,
7/25/18,Wednesday,We,9,CBC,Combat Commander,Tournament,R1/4,5,B,SwEl,Continuous,3,First Tracks Poolside,"Collars, Bryan",Century,,,,
7/25/18,Wednesday,We,12,CBC,Combat Commander,Tournament,R2/4,5,B,SwEl,Continuous,3,First Tracks Poolside,"Collars, Bryan",Century,,,,
7/25/18,Wednesday,We,15,CBC,Combat Commander,Tournament,R3/4,5,B,SwEl,Continuous,3,First Tracks Poolside,"Collars, Bryan",Century,,,,
7/25/18,Wednesday,We,18,CBC,Combat Commander,Tournament,R4/4,5,B,SwEl,Continuous,3,First Tracks Poolside,"Collars, Bryan",Century,,,,
7/27/18,Friday,Fr,12,CBC,Combat Commander,Tournament,SF,5,B,SwEl,Continuous,3,Laurel,"Collars, Bryan",Century,,,,
7/27/18,Friday,Fr,15,CBC,Combat Commander,Tournament,F,5,B,SwEl,Continuous,3,Laurel,"Collars, Bryan",Century,,,,
7/26/18,Thursday,Th,9,CCA,Command & Colors: Ancients,Tournament,R1/2,6,A,SwEl,Continuous,3,Festival,"O'Neal, Bill",Century,,,,
7/26/18,Thursday,Th,12,CCA,Command & Colors: Ancients,Tournament,R2/2,6,A,SwEl,Continuous,3,Festival,"O'Neal, Bill",Century,,,,
7/26/18,Thursday,Th,15,CCA,Command & Colors: Ancients,Tournament,SF,6,A,SwEl,Continuous,3,Festival,"O'Neal, Bill",Century,,,,
7/26/18,Thursday,Th,18,CCA,Command & Colors: Ancients,Tournament,F,6,A,SwEl,Continuous,3,Festival,"O'Neal, Bill",Century,,,,
7/24/18,Tuesday,Tu,17,CCN,Command & Colors: Napoleonics,Tournament,D1/1,--,--,--,--,1,Annex 3,"Kirk, John",Century,,,,
7/25/18,Wednesday,We,9,CCN,Command & Colors: Napoleonics,Tournament,R1/4,3,B,SwEl,Continuous,2,Foggy Goggle Rear,"Kirk, John",Century,,,,
7/25/18,Wednesday,We,11,CCN,Command & Colors: Napoleonics,Tournament,R2/4,3,B,SwEl,Continuous,2,Foggy Goggle Rear,"Kirk, John",Century,,,,
7/25/18,Wednesday,We,13,CCN,Command & Colors: Napoleonics,Tournament,R3/4,3,B,SwEl,Continuous,2,Foggy Goggle Rear,"Kirk, John",Century,,,,
7/25/18,Wednesday,We,15,CCN,Command & Colors: Napoleonics,Tournament,R4/4,3,B,SwEl,Continuous,2,Foggy Goggle Rear,"Kirk, John",Century,,,,
7/25/18,Wednesday,We,18,CCN,Command & Colors: Napoleonics,Tournament,SF,3,B,SwEl,Continuous,2,Foggy Goggle Rear,"Kirk, John",Century,,,,
7/25/18,Wednesday,We,20,CCN,Command & Colors: Napoleonics,Tournament,F,3,B,SwEl,Continuous,2,Foggy Goggle Rear,"Kirk, John",Century,,,,
7/25/18,Wednesday,We,11,CNC,Concordia,Tournament,D1/1,--,--,--,--,1,Annex 1,"Reece, Craig",Century,,,,
7/25/18,Wednesday,We,13,CNC,Concordia,Tournament,H1/3,3,B,HMWG,Scheduled,3,Wintergreen,"Reece, Craig",Century,,,,
7/27/18,Friday,Fr,20,CNC,Concordia,Tournament,H2/3,3,B,HMWG,Scheduled,3,Foggy Goggle Front,"Reece, Craig",Century,,,,
7/28/18,Saturday,Sa,11,CNC,Concordia,Tournament,H3/3,3,B,HMWG,Scheduled,3,Foggy Goggle Front,"Reece, Craig",Century,,,,
7/28/18,Saturday,Sa,15,CNC,Concordia,Tournament,SF,3,B,HMWG,Scheduled,3,Foggy Goggle Front,"Reece, Craig",Century,,,,
7/28/18,Saturday,Sa,20,CNC,Concordia,Tournament,F,3,B,HMWG,Scheduled,3,Foggy Goggle Front,"Reece, Craig",Century,,,,
7/24/18,Tuesday,Tu,19,COH,Conflict of Heroes,Tournament,D1/1,--,--,--,--,1,Annex 4,"Mastrangelo, Damian",Vendor,,,,
7/24/18,Tuesday,Tu,20,COH,Conflict of Heroes,Tournament,R1M,1,B,SEM,Continuous,2,Festival,"Mastrangelo, Damian",Vendor,,,,
7/25/18,Wednesday,We,11,COH,Conflict of Heroes,Tournament,R1/4,1,B,SEM,Continuous,2,Festival,"Mastrangelo, Damian",Vendor,,,,
7/25/18,Wednesday,We,13,COH,Conflict of Heroes,Tournament,R2/4,1,B,SEM,Continuous,2,Festival,"Mastrangelo, Damian",Vendor,,,,
7/25/18,Wednesday,We,15,COH,Conflict of Heroes,Tournament,R3/4,1,B,SEM,Continuous,2,Festival,"Mastrangelo, Damian",Vendor,,,,
7/25/18,Wednesday,We,17,COH,Conflict of Heroes,Tournament,F,1,B,SEM,Continuous,2,Festival,"Mastrangelo, Damian",Vendor,,,,
7/26/18,Thursday,Th,19,CQP,Conquest of Paradise,Tournament,D1/1,--,--,--,--,1,Annex 1,"McPartland, Kevin",Century,,,,
7/26/18,Thursday,Th,21,CQP,Conquest of Paradise,Tournament,H1/3,3,B,HSW,Scheduled,3,First Tracks Slopeside,"McPartland, Kevin",Century,,,,
7/27/18,Friday,Fr,15,CQP,Conquest of Paradise,Tournament,H2/3,3,B,HSW,Scheduled,3,Foggy Goggle Front,"McPartland, Kevin",Century,,,,
7/28/18,Saturday,Sa,9,CQP,Conquest of Paradise,Tournament,H3/3,3,B,HSW,Scheduled,3,First Tracks Slopeside,"McPartland, Kevin",Century,,,,
7/28/18,Saturday,Sa,12,CQP,Conquest of Paradise,Tournament,SF,3,B,HSW,Scheduled,3,First Tracks Slopeside,"McPartland, Kevin",Century,,,,
7/28/18,Saturday,Sa,15,CQP,Conquest of Paradise,Tournament,F,3,B,HSW,Scheduled,3,First Tracks Slopeside,"McPartland, Kevin",Century,,,,
7/27/18,Friday,Fr,17,DIP,Diplomacy,Tournament,D1/1,--,--,--,--,1,Annex 2,"Haver, Thomas",Century,,,,
7/27/18,Friday,Fr,19,DIP,Diplomacy,Tournament,R1/3,4,B,SW,Scheduled,4,Alpine,"Haver, Thomas",Century,,,,
7/28/18,Saturday,Sa,10,DIP,Diplomacy,Tournament,R2/3,4,B,SW,Scheduled,4,Alpine,"Haver, Thomas",Century,,,,
7/28/18,Saturday,Sa,19,DIP,Diplomacy,Tournament,R3/3,4,B,SW,Scheduled,4,Alpine,"Haver, Thomas",Century,,,,
7/22/18,First Sunday,FSu,11,DOM,Dominion,Tournament,D1/1,--,--,--,--,1,Annex 1,"McGregor, Duncan",Century,,,,
7/22/18,First Sunday,FSu,18,DOM,Dominion,Tournament,H1/3,4,B,HMWG,Scheduled,1,Seasons,"McGregor, Duncan",Century,,,,
7/22/18,First Sunday,FSu,19,DOM,Dominion,Tournament,H2/3,4,B,HMWG,Scheduled,1,Seasons,"McGregor, Duncan",Century,,,,
7/22/18,First Sunday,FSu,20,DOM,Dominion,Tournament,H3/3,4,B,HMWG,Scheduled,1,Seasons,"McGregor, Duncan",Century,,,,
7/23/18,Monday,Mo,21,DOM,Dominion,Tournament,QF,4,B,HMWG,Scheduled,1,Foggy Goggle Front,"McGregor, Duncan",Century,,,,
7/23/18,Monday,Mo,22,DOM,Dominion,Tournament,SF,4,B,HMWG,Scheduled,1,Foggy Goggle Front,"McGregor, Duncan",Century,,,,
7/24/18,Tuesday,Tu,22,DOM,Dominion,Tournament,F,4,B,HMWG,Scheduled,1,Laurel,"McGregor, Duncan",Century,,,,
7/25/18,Wednesday,We,13,DUN,Dune,Tournament,H1/3,4,A,HMWG,Scheduled,5,Alpine,"Johnson, Brad",Century,,,,
7/26/18,Thursday,Th,13,DUN,Dune,Tournament,H2/3,4,A,HMWG,Scheduled,5,Alpine,"Johnson, Brad",Century,,,,
7/27/18,Friday,Fr,9,DUN,Dune,Tournament,H3/3,4,A,HMWG,Scheduled,5,Alpine,"Johnson, Brad",Century,,,,
7/28/18,Saturday,Sa,9,DUN,Dune,Tournament,F,4,A,HMWG,Scheduled,5,Laurel,"Johnson, Brad",Century,,,,
7/21/18,First Saturday,FSa,9,EGZ,Egizia,Tournament,D1/1,--,--,--,--,1,Annex 1,"Emerick, Andrew",Century,,,,
7/21/18,First Saturday,FSa,10,EGZ,Egizia,Tournament,H1/3,3,B,HMWG,Scheduled,2,Foggy Goggle Front,"Emerick, Andrew",Century,,,,
7/21/18,First Saturday,FSa,16,EGZ,Egizia,Tournament,H2/3,3,B,HMWG,Scheduled,2,Foggy Goggle Front,"Emerick, Andrew",Century,,,,
7/22/18,First Sunday,FSu,22,EGZ,Egizia,Tournament,H3/3,3,B,HMWG,Scheduled,2,Foggy Goggle Front,"Emerick, Andrew",Century,,,,
7/24/18,Tuesday,Tu,20,EGZ,Egizia,Tournament,SF,3,B,HMWG,Scheduled,2,Laurel,"Emerick, Andrew",Century,,,,
7/24/18,Tuesday,Tu,22,EGZ,Egizia,Tournament,F,3,B,HMWG,Scheduled,2,Laurel,"Emerick, Andrew",Century,,,,
7/22/18,First Sunday,FSu,12,ELG,El Grande,Tournament,D1/1,--,--,--,--,1,Annex 5,"Flowers, Rob",Trial,,,,
7/22/18,First Sunday,FSu,13,ELG,El Grande,Tournament,H1/3,1,B,HMWG,Scheduled,2,Grand Ballroom,"Flowers, Rob",Trial,,,,
7/23/18,Monday,Mo,12,ELG,El Grande,Tournament,H2/3,1,B,HMWG,Scheduled,2,Alpine,"Flowers, Rob",Trial,,,,
7/24/18,Tuesday,Tu,18,ELG,El Grande,Tournament,H3/3,1,B,HMWG,Scheduled,2,Grand Ballroom,"Flowers, Rob",Trial,,,,
7/25/18,Wednesday,We,15,ELG,El Grande,Tournament,SF,1,B,HMWG,Scheduled,2,Grand Ballroom,"Flowers, Rob",Trial,,,,
7/25/18,Wednesday,We,17,ELG,El Grande,Tournament,F,1,B,HMWG,Scheduled,2,Laurel,"Flowers, Rob",Trial,,,,
7/23/18,Monday,Mo,21,ELC,Elchfest,Tournament,D1/1,--,--,--,--,1,Annex 6,"Bell, Alex",Trial,,,,
7/23/18,Monday,Mo,22,ELC,Elchfest,Tournament,R1/6,1,B,SE,Late Night,0.5,Wintergreen,"Bell, Alex",Trial,,,,
7/23/18,Monday,Mo,22.5,ELC,Elchfest,Tournament,R2/6,1,B,SE,Late Night,0.5,Wintergreen,"Bell, Alex",Trial,,,,
7/23/18,Monday,Mo,23,ELC,Elchfest,Tournament,R3/6,1,B,SE,Late Night,0.5,Wintergreen,"Bell, Alex",Trial,,,,
7/23/18,Monday,Mo,23.5,ELC,Elchfest,Tournament,R4/6,1,B,SE,Late Night,0.5,Wintergreen,"Bell, Alex",Trial,,,,
7/23/18,Monday,Mo,24,ELC,Elchfest,Tournament,R5/6,1,B,SE,Late Night,0.5,Wintergreen,"Bell, Alex",Trial,,,,
7/24/18,Tuesday,Tu,0.5,ELC,Elchfest,Tournament,F,1,B,SE,Late Night,0.5,Wintergreen,"Bell, Alex",Trial,,,,
7/23/18,Monday,Mo,11,EPB,Empire Builder,Tournament,D1/1,--,--,--,--,1,Annex 3,"Stribula, Bob",Century,,,,
7/23/18,Monday,Mo,13,EPB,Empire Builder,Tournament,H1/3,6,B,HMWG,Scheduled,4,Foggy Goggle Front,"Stribula, Bob",Century,,,,
7/24/18,Tuesday,Tu,18,EPB,Empire Builder,Tournament,H2/3,6,B,HMWG,Scheduled,4,Foggy Goggle Front,"Stribula, Bob",Century,,,,
7/25/18,Wednesday,We,12,EPB,Empire Builder,Tournament,H3/3,6,B,HMWG,Scheduled,4,First Tracks Center,"Stribula, Bob",Century,,,,
7/26/18,Thursday,Th,9,EPB,Empire Builder,Tournament,SF,6,B,HMWG,Scheduled,4,Alpine,"Stribula, Bob",Century,,,,
7/26/18,Thursday,Th,14,EPB,Empire Builder,Tournament,F,6,B,HMWG,Scheduled,4,Alpine,"Stribula, Bob",Century,,,,
7/26/18,Thursday,Th,17,EOS,Empire of the Sun,Tournament,D1/1,--,--,--,--,1,Annex 1,"Crane, Chris",Trial,,,,
7/26/18,Thursday,Th,18,EOS,Empire of the Sun,Tournament,R1M,1,B,SEM,Scheduled,3,Festival,"Crane, Chris",Trial,,,,
7/27/18,Friday,Fr,9,EOS,Empire of the Sun,Tournament,R1/4,1,B,SEM,Scheduled,3,Festival,"Crane, Chris",Trial,,,,
7/27/18,Friday,Fr,12,EOS,Empire of the Sun,Tournament,R2/4,1,B,SEM,Scheduled,3,Festival,"Crane, Chris",Trial,,,,
7/27/18,Friday,Fr,15,EOS,Empire of the Sun,Tournament,R3/4,1,B,SEM,Scheduled,3,Festival,"Crane, Chris",Trial,,,,
7/27/18,Friday,Fr,18,EOS,Empire of the Sun,Tournament,F,1,B,SEM,Scheduled,3,Festival,"Crane, Chris",Trial,,,,
7/25/18,Wednesday,We,12,EPH,Epoch,Tournament,D1/1,--,--,--,--,1,Annex 1,"McCorry, Tom",Vendor,,,,
7/25/18,Wednesday,We,14,EPH,Epoch,Tournament,H1/2,1,B,HMWG,Scheduled,3,Alpine,"McCorry, Tom",Vendor,,,,
7/26/18,Thursday,Th,18,EPH,Epoch,Tournament,H2/2,1,B,HMWG,Scheduled,3,Alpine,"McCorry, Tom",Vendor,,,,
7/26/18,Thursday,Th,21,EPH,Epoch,Tournament,SF,1,B,HMWG,Scheduled,3,Alpine,"McCorry, Tom",Vendor,,,,
7/27/18,Friday,Fr,12,EPH,Epoch,Tournament,F,1,B,HMWG,Scheduled,3,Laurel,"McCorry, Tom",Vendor,,,,
7/28/18,Saturday,Sa,16,E&T,Euphrat & Tigris,Tournament,D1/1,--,--,--,--,1,Annex 2,"Moffitt, Craig",Legacy,,,,
7/27/18,Friday,Fr,11,E&T,Euphrat & Tigris,Tournament,H1/2,3,B,HSW,Scheduled,2,Wintergreen,"Moffitt, Craig",Legacy,,,,
7/28/18,Saturday,Sa,17,E&T,Euphrat & Tigris,Tournament,H2/2,3,B,HSW,Scheduled,2,Wintergreen,"Moffitt, Craig",Legacy,,,,
7/28/18,Saturday,Sa,19,E&T,Euphrat & Tigris,Tournament,SF,3,B,HSW,Scheduled,2,Wintergreen,"Moffitt, Craig",Legacy,,,,
7/28/18,Saturday,Sa,21,E&T,Euphrat & Tigris,Tournament,F,3,B,HSW,Scheduled,2,Laurel,"Moffitt, Craig",Legacy,,,,
7/26/18,Thursday,Th,11,EVL,Evolution,Tournament,D1/3,--,--,--,--,1,Annex 5,"Marino, Nicole",Trial,,,,
7/26/18,Thursday,Th,19,EVL,Evolution,Tournament,D2/3,--,--,--,--,1,Annex 5,"Marino, Nicole",Trial,,,,
7/27/18,Friday,Fr,14,EVL,Evolution,Tournament,D3/3,--,--,--,--,1,Annex 5,"Marino, Nicole",Trial,,,,
7/26/18,Thursday,Th,13,EVL,Evolution,Tournament,H1/3,1,B,HMWG,Scheduled,2,Seasons,"Marino, Nicole",Trial,,,,
7/26/18,Thursday,Th,21,EVL,Evolution,Tournament,H2/3,1,B,HMWG,Scheduled,2,Grand Ballroom,"Marino, Nicole",Trial,,,,
7/27/18,Friday,Fr,16,EVL,Evolution,Tournament,H3/3,1,B,HMWG,Scheduled,2,Seasons,"Marino, Nicole",Trial,,,,
7/28/18,Saturday,Sa,9,EVL,Evolution,Tournament,SF,1,B,HMWG,Scheduled,2,Seasons,"Marino, Nicole",Trial,,,,
7/28/18,Saturday,Sa,11,EVL,Evolution,Tournament,F,1,B,HMWG,Scheduled,2,Laurel,"Marino, Nicole",Trial,,,,
7/21/18,First Saturday,FSa,12,EXS,Exodus: Moses vs Pharoah,Tournament,R1/4,1,C,SE,Continuous,1,First Tracks Slopeside,"Day, Michael",Vendor,,,,
